timestamp,object,message
2026-06-27T01:03:01.893Z,frontend,[internal] load build definition from Dockerfile
2026-06-27T01:03:01.893Z,frontend,[internal] load build definition from Dockerfile
2026-06-27T01:03:01.899Z,frontend,transferring (443 bytes)
2026-06-27T01:03:01.910Z,frontend,[internal] load metadata for docker.io/library/node:22-alpine
2026-06-27T01:03:02.244Z,frontend,[internal] load .dockerignore
2026-06-27T01:03:02.244Z,frontend,[internal] load .dockerignore
2026-06-27T01:03:02.267Z,frontend,[internal] load build context
2026-06-27T01:03:02.267Z,frontend,[deps 1/4] FROM docker.io/library/node:22-alpine@sha256:16e22a550f3863206a3f701448c45f7912c6896a62de43add43bb9c86130c3e2
2026-06-27T01:03:02.306Z,frontend,[internal] load build context
2026-06-27T01:03:02.306Z,frontend,[deps 2/4] WORKDIR /app
2026-06-27T01:03:02.306Z,frontend,resolve docker.io/library/node:22-alpine@sha256:16e22a550f3863206a3f701448c45f7912c6896a62de43add43bb9c86130c3e2
2026-06-27T01:03:02.773Z,frontend,transferring (1617940 bytes)
2026-06-27T01:03:02.801Z,frontend,[deps 3/4] COPY package.json ./
2026-06-27T01:03:02.801Z,frontend,[deps 4/4] RUN npm install
2026-06-27T01:03:02.801Z,frontend,[builder 3/5] COPY --from=deps /app/node_modules ./node_modules
2026-06-27T01:03:02.801Z,frontend,[builder 4/5] COPY . .
2026-06-27T01:03:02.801Z,frontend,[builder 5/5] RUN npm run build
2026-06-27T01:03:02.802Z,frontend,[runner 3/4] COPY --from=builder /app/.next/standalone ./
2026-06-27T01:03:14.453Z,frontend,[internal] load build definition from Dockerfile
2026-06-27T01:03:14.453Z,frontend,[internal] load build definition from Dockerfile
2026-06-27T01:03:14.453Z,backend,[internal] load build definition from Dockerfile
2026-06-27T01:03:14.454Z,backend,[internal] load build definition from Dockerfile
2026-06-27T01:03:14.460Z,frontend,transferring (443 bytes)
2026-06-27T01:03:14.461Z,backend,transferring (229 bytes)
2026-06-27T01:03:14.475Z,frontend,[internal] load metadata for docker.io/library/node:22-alpine
2026-06-27T01:03:14.477Z,backend,[internal] load metadata for docker.io/library/python:3.12-slim
2026-06-27T01:03:14.646Z,backend,[internal] load .dockerignore
2026-06-27T01:03:14.646Z,backend,[internal] load .dockerignore
2026-06-27T01:03:14.648Z,frontend,[internal] load .dockerignore
2026-06-27T01:03:14.648Z,frontend,[internal] load .dockerignore
2026-06-27T01:03:14.666Z,backend,[1/5] FROM docker.io/library/python:3.12-slim@sha256:6c4dd321d176d61ea848dc8c73a4f7dbae8f70e0ee48bb411ea2f045b599fa8e
2026-06-27T01:03:14.666Z,backend,[internal] load build context
2026-06-27T01:03:14.667Z,backend,[internal] load build context
2026-06-27T01:03:14.671Z,frontend,[internal] load build context
2026-06-27T01:03:14.671Z,frontend,[deps 1/4] FROM docker.io/library/node:22-alpine@sha256:16e22a550f3863206a3f701448c45f7912c6896a62de43add43bb9c86130c3e2
2026-06-27T01:03:14.701Z,backend,resolve docker.io/library/python:3.12-slim@sha256:6c4dd321d176d61ea848dc8c73a4f7dbae8f70e0ee48bb411ea2f045b599fa8e
2026-06-27T01:03:14.704Z,frontend,[internal] load build context
2026-06-27T01:03:14.704Z,frontend,[deps 2/4] WORKDIR /app
2026-06-27T01:03:14.704Z,frontend,resolve docker.io/library/node:22-alpine@sha256:16e22a550f3863206a3f701448c45f7912c6896a62de43add43bb9c86130c3e2
2026-06-27T01:03:14.889Z,backend,transferring (817391 bytes)
2026-06-27T01:03:14.908Z,backend,[2/5] WORKDIR /app
2026-06-27T01:03:14.908Z,backend,[3/5] COPY requirements.txt .
2026-06-27T01:03:14.908Z,backend,[4/5] RUN pip install --no-cache-dir -r requirements.txt
2026-06-27T01:03:14.908Z,backend,[5/5] COPY . .
2026-06-27T01:03:14.911Z,backend,exporting to image
2026-06-27T01:03:14.912Z,backend,exporting layers
2026-06-27T01:03:14.915Z,backend,exporting manifest sha256:4637784b92025ca171b3dbcfc2403e7134691d6e82c84138f656cb91992faee9
2026-06-27T01:03:14.918Z,backend,exporting config sha256:c84b1d120ec0b819574bb4f22099972349852f7b5c5208fda74b89ae0306166e
2026-06-27T01:03:14.963Z,backend,exporting attestation manifest sha256:50f0a8b4c8289ca66f5ec237545c66a251ebc9dd788b0de8bcca11e47a9d78c8
2026-06-27T01:03:14.978Z,backend,exporting manifest list sha256:fcff5f165a65579718469dab34dee1b04163c995a2ac120a606812c34ed591d9
2026-06-27T01:03:14.981Z,backend,naming to docker.io/library/yieldscreener-backend:latest
2026-06-27T01:03:14.989Z,backend,unpacking to docker.io/library/yieldscreener-backend:latest
2026-06-27T01:03:15.181Z,frontend,transferring (1617940 bytes)
2026-06-27T01:03:15.206Z,frontend,[deps 3/4] COPY package.json ./
2026-06-27T01:03:15.206Z,frontend,[deps 4/4] RUN npm install
2026-06-27T01:03:15.206Z,frontend,[builder 3/5] COPY --from=deps /app/node_modules ./node_modules
2026-06-27T01:03:15.206Z,frontend,[builder 4/5] COPY . .
2026-06-27T01:03:15.206Z,frontend,[builder 5/5] RUN npm run build
2026-06-27T01:03:15.206Z,frontend,[runner 3/4] COPY --from=builder /app/.next/standalone ./
2026-06-27T01:30:22.621Z,backend,[internal] load build definition from Dockerfile
2026-06-27T01:30:22.621Z,backend,[internal] load build definition from Dockerfile
2026-06-27T01:30:22.628Z,backend,transferring (229 bytes)
2026-06-27T01:30:22.639Z,backend,[internal] load metadata for docker.io/library/python:3.12-slim
2026-06-27T01:30:23.360Z,backend,[internal] load .dockerignore
2026-06-27T01:30:23.360Z,backend,[internal] load .dockerignore
2026-06-27T01:30:23.386Z,backend,[1/5] FROM docker.io/library/python:3.12-slim@sha256:6c4dd321d176d61ea848dc8c73a4f7dbae8f70e0ee48bb411ea2f045b599fa8e
2026-06-27T01:30:23.386Z,backend,[internal] load build context
2026-06-27T01:30:23.387Z,backend,[internal] load build context
2026-06-27T01:30:23.419Z,backend,resolve docker.io/library/python:3.12-slim@sha256:6c4dd321d176d61ea848dc8c73a4f7dbae8f70e0ee48bb411ea2f045b599fa8e
2026-06-27T01:30:23.647Z,backend,transferring (817391 bytes)
2026-06-27T01:30:23.664Z,backend,[2/5] WORKDIR /app
2026-06-27T01:30:23.664Z,backend,[3/5] COPY requirements.txt .
2026-06-27T01:30:23.664Z,backend,[4/5] RUN pip install --no-cache-dir -r requirements.txt
2026-06-27T01:30:23.664Z,backend,[5/5] COPY . .
2026-06-27T01:30:23.666Z,backend,exporting to image
2026-06-27T01:30:23.668Z,backend,exporting layers
2026-06-27T01:30:23.671Z,backend,exporting manifest sha256:4637784b92025ca171b3dbcfc2403e7134691d6e82c84138f656cb91992faee9
2026-06-27T01:30:23.673Z,backend,exporting config sha256:c84b1d120ec0b819574bb4f22099972349852f7b5c5208fda74b89ae0306166e
2026-06-27T01:30:23.717Z,backend,exporting attestation manifest sha256:229d902cb82c2ff30656899e743a7de9da7ad8ce9f7c2a68686ed7aefc72c5d2
2026-06-27T01:30:23.732Z,backend,exporting manifest list sha256:f48a8906d0253dbc1e153ae39b7f44fdad014ec1a3c7835861d0892c418a0307
2026-06-27T01:30:23.734Z,backend,naming to docker.io/library/yieldscreener-backend:latest
2026-06-27T01:30:23.741Z,backend,unpacking to docker.io/library/yieldscreener-backend:latest
2026-06-27T01:30:29.688Z,frontend,
2026-06-27T01:30:29.688Z,frontend,> yield-screener-frontend@0.1.0 build
2026-06-27T01:30:29.688Z,frontend,> next build
2026-06-27T01:30:30.235Z,frontend,Attention: Next.js now collects completely anonymous telemetry regarding usage.
2026-06-27T01:30:30.235Z,frontend,This information is used to shape Next.js' roadmap and prioritize features.
2026-06-27T01:30:30.235Z,frontend,"You can learn more, including how to opt-out if you'd not like to participate in this anonymous program, by visiting the following URL:"
2026-06-27T01:30:30.235Z,frontend,https://nextjs.org/telemetry
2026-06-27T01:30:30.304Z,frontend,▲ Next.js 15.5.19
2026-06-27T01:30:30.304Z,frontend,
2026-06-27T01:30:30.349Z,frontend,Creating an optimized production build ...
2026-06-27T01:30:35.514Z,frontend,✓ Compiled successfully in 3.4s
2026-06-27T01:30:35.519Z,frontend,Linting and checking validity of types ...
2026-06-27T01:30:36.937Z,frontend,Collecting page data ...
2026-06-27T01:30:37.706Z,frontend,Generating static pages (0/6) ...
2026-06-27T01:30:38.093Z,frontend,Generating static pages (1/6)
2026-06-27T01:30:38.093Z,frontend,Generating static pages (2/6)
2026-06-27T01:30:38.093Z,frontend,Generating static pages (4/6)
2026-06-27T01:30:38.093Z,frontend,✓ Generating static pages (6/6)
2026-06-27T01:30:38.428Z,frontend,Finalizing page optimization ...
2026-06-27T01:30:38.428Z,frontend,Collecting build traces ...
2026-06-27T01:30:46.525Z,frontend,
2026-06-27T01:30:46.527Z,frontend,Route (app)                                 Size  First Load JS
2026-06-27T01:30:46.527Z,frontend,┌ ○ /                                    6.44 kB         109 kB
2026-06-27T01:30:46.527Z,frontend,├ ○ /_not-found                            991 B         103 kB
2026-06-27T01:30:46.527Z,frontend,├ ○ /login                               2.07 kB         104 kB
2026-06-27T01:30:46.527Z,frontend,└ ○ /signup                              2.15 kB         105 kB
2026-06-27T01:30:46.527Z,frontend,"'+ First Load JS shared by all             102 kB"
2026-06-27T01:30:46.527Z,frontend,├ chunks/255-98a0bdaa30757bda.js       46.2 kB
2026-06-27T01:30:46.527Z,frontend,├ chunks/4bd1b696-c023c6e3521b1417.js  54.2 kB
2026-06-27T01:30:46.527Z,frontend,└ other shared chunks (total)          1.92 kB
2026-06-27T01:30:46.527Z,frontend,○  (Static)  prerendered as static content
2026-06-27T01:30:46.557Z,frontend,npm notice
2026-06-27T01:30:46.557Z,frontend,npm notice New major version of npm available! 10.9.8 -> 11.17.0
2026-06-27T01:30:46.557Z,frontend,npm notice Changelog: https://github.com/npm/cli/releases/tag/v11.17.0
2026-06-27T01:30:46.557Z,frontend,npm notice To update run: npm install -g npm@11.17.0
2026-06-27T01:30:46.557Z,frontend,npm notice
2026-06-27T02:16:03.226Z,backend,[internal] load build definition from Dockerfile
2026-06-27T02:16:03.226Z,backend,[internal] load build definition from Dockerfile
2026-06-27T02:16:03.234Z,backend,transferring (229 bytes)
2026-06-27T02:16:03.252Z,backend,[internal] load metadata for docker.io/library/python:3.12-slim
2026-06-27T02:16:03.769Z,backend,[internal] load .dockerignore
2026-06-27T02:16:03.769Z,backend,[internal] load .dockerignore
2026-06-27T02:16:03.792Z,backend,[1/5] FROM docker.io/library/python:3.12-slim@sha256:6c4dd321d176d61ea848dc8c73a4f7dbae8f70e0ee48bb411ea2f045b599fa8e
2026-06-27T02:16:03.792Z,backend,[internal] load build context
2026-06-27T02:16:03.792Z,backend,[internal] load build context
2026-06-27T02:16:03.825Z,backend,resolve docker.io/library/python:3.12-slim@sha256:6c4dd321d176d61ea848dc8c73a4f7dbae8f70e0ee48bb411ea2f045b599fa8e
2026-06-27T02:16:04.041Z,backend,transferring (817391 bytes)
2026-06-27T02:16:04.058Z,backend,[2/5] WORKDIR /app
2026-06-27T02:16:04.058Z,backend,[3/5] COPY requirements.txt .
2026-06-27T02:16:04.058Z,backend,[4/5] RUN pip install --no-cache-dir -r requirements.txt
2026-06-27T02:16:04.058Z,backend,[5/5] COPY . .
2026-06-27T02:16:04.061Z,backend,exporting to image
2026-06-27T02:16:04.063Z,backend,exporting layers
2026-06-27T02:16:04.066Z,backend,exporting manifest sha256:4637784b92025ca171b3dbcfc2403e7134691d6e82c84138f656cb91992faee9
2026-06-27T02:16:04.068Z,backend,exporting config sha256:c84b1d120ec0b819574bb4f22099972349852f7b5c5208fda74b89ae0306166e
2026-06-27T02:16:04.111Z,backend,exporting attestation manifest sha256:4833f7043b84df333c0096b8c938940ba9a2a8e1b89810256877f6fac1f13d26
2026-06-27T02:16:04.125Z,backend,exporting manifest list sha256:af42a606d8b4875870d9078432db2fad3297b0e82e5752b8321dcfc170b52bcd
2026-06-27T02:16:04.129Z,backend,naming to docker.io/library/yieldscreener-backend:latest
2026-06-27T02:16:04.137Z,backend,unpacking to docker.io/library/yieldscreener-backend:latest
2026-06-27T02:16:09.823Z,frontend,
2026-06-27T02:16:09.823Z,frontend,> yield-screener-frontend@0.1.0 build
2026-06-27T02:16:09.823Z,frontend,> next build
2026-06-27T02:16:10.406Z,frontend,Attention: Next.js now collects completely anonymous telemetry regarding usage.
2026-06-27T02:16:10.406Z,frontend,This information is used to shape Next.js' roadmap and prioritize features.
2026-06-27T02:16:10.406Z,frontend,"You can learn more, including how to opt-out if you'd not like to participate in this anonymous program, by visiting the following URL:"
2026-06-27T02:16:10.406Z,frontend,https://nextjs.org/telemetry
2026-06-27T02:16:10.478Z,frontend,▲ Next.js 15.5.19
2026-06-27T02:16:10.479Z,frontend,
2026-06-27T02:16:10.541Z,frontend,Creating an optimized production build ...
2026-06-27T02:16:15.370Z,frontend,✓ Compiled successfully in 3.3s
2026-06-27T02:16:15.373Z,frontend,Linting and checking validity of types ...
2026-06-27T02:16:16.792Z,frontend,Collecting page data ...
2026-06-27T02:16:17.499Z,frontend,Generating static pages (0/6) ...
2026-06-27T02:16:17.876Z,frontend,Generating static pages (1/6)
2026-06-27T02:16:17.876Z,frontend,Generating static pages (2/6)
2026-06-27T02:16:17.876Z,frontend,Generating static pages (4/6)
2026-06-27T02:16:17.876Z,frontend,✓ Generating static pages (6/6)
2026-06-27T02:16:18.203Z,frontend,Finalizing page optimization ...
2026-06-27T02:16:18.203Z,frontend,Collecting build traces ...
2026-06-27T02:16:26.635Z,frontend,
2026-06-27T02:16:26.637Z,frontend,Route (app)                                 Size  First Load JS
2026-06-27T02:16:26.637Z,frontend,┌ ○ /                                    6.81 kB         109 kB
2026-06-27T02:16:26.637Z,frontend,├ ○ /_not-found                            991 B         103 kB
2026-06-27T02:16:26.637Z,frontend,├ ○ /login                               2.08 kB         104 kB
2026-06-27T02:16:26.637Z,frontend,└ ○ /signup                              2.17 kB         105 kB
2026-06-27T02:16:26.637Z,frontend,"'+ First Load JS shared by all             102 kB"
2026-06-27T02:16:26.637Z,frontend,├ chunks/255-98a0bdaa30757bda.js       46.2 kB
2026-06-27T02:16:26.637Z,frontend,├ chunks/4bd1b696-c023c6e3521b1417.js  54.2 kB
2026-06-27T02:16:26.637Z,frontend,└ other shared chunks (total)          1.92 kB
2026-06-27T02:16:26.637Z,frontend,○  (Static)  prerendered as static content
2026-06-27T02:16:26.666Z,frontend,npm notice
2026-06-27T02:16:26.666Z,frontend,npm notice New major version of npm available! 10.9.8 -> 11.17.0
2026-06-27T02:16:26.666Z,frontend,npm notice Changelog: https://github.com/npm/cli/releases/tag/v11.17.0
2026-06-27T02:16:26.666Z,frontend,npm notice To update run: npm install -g npm@11.17.0
2026-06-27T02:16:26.666Z,frontend,npm notice
2026-06-27T02:33:15.246Z,backend,[internal] load build definition from Dockerfile
2026-06-27T02:33:15.246Z,backend,[internal] load build definition from Dockerfile
2026-06-27T02:33:15.253Z,backend,transferring (229 bytes)
2026-06-27T02:33:15.266Z,backend,[internal] load metadata for docker.io/library/python:3.12-slim
2026-06-27T02:33:15.770Z,backend,[internal] load .dockerignore
2026-06-27T02:33:15.771Z,backend,[internal] load .dockerignore
2026-06-27T02:33:15.789Z,backend,[1/5] FROM docker.io/library/python:3.12-slim@sha256:6c4dd321d176d61ea848dc8c73a4f7dbae8f70e0ee48bb411ea2f045b599fa8e
2026-06-27T02:33:15.789Z,backend,[internal] load build context
2026-06-27T02:33:15.789Z,backend,[internal] load build context
2026-06-27T02:33:15.828Z,backend,resolve docker.io/library/python:3.12-slim@sha256:6c4dd321d176d61ea848dc8c73a4f7dbae8f70e0ee48bb411ea2f045b599fa8e
2026-06-27T02:33:16.050Z,backend,transferring (823797 bytes)
2026-06-27T02:33:16.079Z,backend,[2/5] WORKDIR /app
2026-06-27T02:33:16.079Z,backend,[3/5] COPY requirements.txt .
2026-06-27T02:33:16.079Z,backend,[4/5] RUN pip install --no-cache-dir -r requirements.txt
2026-06-27T02:33:16.079Z,backend,[5/5] COPY . .
2026-06-27T02:33:18.566Z,backend,exporting to image
2026-06-27T02:33:22.308Z,frontend,
2026-06-27T02:33:22.308Z,frontend,> yield-screener-frontend@0.1.0 build
2026-06-27T02:33:22.308Z,frontend,> next build
2026-06-27T02:33:22.483Z,backend,exporting layers
2026-06-27T02:33:22.499Z,backend,exporting manifest sha256:ef2cda2ee1b01b8710360c062bb27bba455823467b6d840862c48ad045b25aef
2026-06-27T02:33:22.512Z,backend,exporting config sha256:9b58c6a1daa6caa74d6d1d613cf03f2a683158c3de9ea20b9a0dad52587413f7
2026-06-27T02:33:22.556Z,backend,exporting attestation manifest sha256:25d9a6afce27f9948bca45b3ff67de036d164dc9a184021b5799f7e26ff14595
2026-06-27T02:33:22.571Z,backend,exporting manifest list sha256:410fd9df24f2ed30bf46cd902432b12f5f230f8e3f769affb088135d2a625d5e
2026-06-27T02:33:22.574Z,backend,naming to docker.io/library/yieldscreener-backend:latest
2026-06-27T02:33:22.912Z,frontend,Attention: Next.js now collects completely anonymous telemetry regarding usage.
2026-06-27T02:33:22.912Z,frontend,This information is used to shape Next.js' roadmap and prioritize features.
2026-06-27T02:33:22.912Z,frontend,"You can learn more, including how to opt-out if you'd not like to participate in this anonymous program, by visiting the following URL:"
2026-06-27T02:33:22.912Z,frontend,https://nextjs.org/telemetry
2026-06-27T02:33:22.912Z,frontend,
2026-06-27T02:33:22.995Z,frontend,▲ Next.js 15.5.19
2026-06-27T02:33:22.995Z,frontend,
2026-06-27T02:33:23.064Z,frontend,Creating an optimized production build ...
2026-06-27T02:33:23.412Z,backend,unpacking to docker.io/library/yieldscreener-backend:latest
2026-06-27T02:33:28.489Z,frontend,✓ Compiled successfully in 3.8s
2026-06-27T02:33:28.494Z,frontend,Linting and checking validity of types ...
2026-06-27T02:33:30.049Z,frontend,Collecting page data ...
2026-06-27T02:33:30.869Z,frontend,Generating static pages (0/8) ...
2026-06-27T02:33:31.311Z,frontend,Generating static pages (2/8)
2026-06-27T02:33:31.311Z,frontend,Generating static pages (4/8)
2026-06-27T02:33:31.311Z,frontend,Generating static pages (6/8)
2026-06-27T02:33:31.311Z,frontend,✓ Generating static pages (8/8)
2026-06-27T02:33:31.656Z,frontend,Finalizing page optimization ...
2026-06-27T02:33:31.656Z,frontend,Collecting build traces ...
2026-06-27T02:33:41.010Z,frontend,
2026-06-27T02:33:41.012Z,frontend,Route (app)                                 Size  First Load JS
2026-06-27T02:33:41.012Z,frontend,┌ ○ /                                      162 B         106 kB
2026-06-27T02:33:41.012Z,frontend,├ ○ /_not-found                            991 B         103 kB
2026-06-27T02:33:41.012Z,frontend,├ ○ /account                             1.93 kB         108 kB
2026-06-27T02:33:41.012Z,frontend,├ ○ /login                               2.08 kB         104 kB
2026-06-27T02:33:41.012Z,frontend,├ ○ /screener                            7.04 kB         109 kB
2026-06-27T02:33:41.012Z,frontend,└ ○ /signup                              2.17 kB         105 kB
